car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link,car_age,km_age_ratio
c3,citroen,citroen c3 1.2 puretech c-series,2021,81409,14480,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijludwltyxy4cxj0dditu1revlrmufqifq.ltoaut2-xwxjp2df466v9-sn5f561vx5fitjychm3d8/image;s=320x240,2,40704.5
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,21000,19690,gasolina,manual,none,1,21000.0
c3,citroen,citroen c3 1.2 puretech c-series,2022,31090,16899,gasolina,manual,none,1,31090.0
c3,citroen,citroen c3 1.2 puretech feel,2018,50918,11990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imt5b29ub291bhnhni1tverwvexqvcj9.uo0xorpe8irpxjth2ipfhmedc0n4rva_dbay2ysii88/image;s=320x240,5,10183.6
c3,citroen,citroen c3 1.2 puretech feel,2019,120000,13950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inq1n295zdbzyty1mzitu1revlrmufqifq.bcb1nxttak_mrfpmv-q95zqe2xppf2p77efccohyxhk/image;s=320x240,4,30000.0
a1,audi,audi a1 sportback 1.4 tdi design,2015,136000,14900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innizwgyow1sb2vzazitu1revlrmufqifq.t248gn3wnee1w6c79zyj1tpjezyadmlwsgfcpamstna/image;s=320x240,8,17000.0
c3,citroen,citroen c3 1.2 puretech shine,2019,43693,14700,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijfjogfsnjfzzth1ny1tverwvexqvcj9.ficldn0zdvhn3bwnu2hhr0h1htlulxic_yoi0rtg9o8/image;s=320x240,4,10923.25
c3,citroen,citroen c3 1.2 puretech feel,2019,58478,13490,gasolina,manual,none,4,14619.5
c3,citroen,citroen c3 picasso,2009,157000,8250,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inp6oxhxngtyamvvdjitu1revlrmufqifq.g4bs_p-ne7qpyca4xfcmhsjpkddi0ersdnltkzhsclc/image;s=320x240,14,11214.285714285714
a1,audi,audi a1 sportback 25 tfsi advanced,2022,36000,22890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imv2bzljadm3etz6etetu1revlrmufqifq.d7xiatvngkxk43clutqqzzdvko1vthyzocyj1mv8gp4/image;s=320x240,1,36000.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,38827,17740,gasolina,manual,none,1,38827.0
a1,audi,audi a1 sportback 1.4 tdi (ultra),2015,146088,15750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdsdxlnmxzhzhjxmzmtu1revlrmufqifq.cykutqoxe93f2218ht4cvxyyhrcquxq8twkobdydu88/image;s=320x240,8,18261.0
c3,citroen,citroen c3 1.2 puretech shine,2022,13003,17990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inz2nzd2dzy0bg53mtmtu1revlrmufqifq.rchfo4r4hk5fzzp2r8va2koywyeugijm2ttmqnff9yk/image;s=320x240,1,13003.0
c3,citroen,citroen c3 1.6 bluehdi feel,2017,153000,12990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infmohhrehdienvhbzmtu1revlrmufqifq.51o9tw7rcyea0qanqgfspcri37nittfnczd5o8omuyw/image;s=320x240,6,25500.0
a1,audi,audi a1 sportback 1.0 tfsi design,2018,129600,15900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzoy241yxh6ehj1mzmtu1revlrmufqifq.jfr6bx6k-er-hn0pqahuu0_kbb3jsq0bw19u3vbupas/image;s=320x240,5,25920.0
c3,citroen,citroen c3 1.6 bluehdi feel,2018,97000,14950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inz5b2zvdnbleghlci1tverwvexqvcj9.eq7-k1eypl6s-an49x2shmfkoxch6ceq12vp9zmrpiy/image;s=320x240,5,19400.0
c3,citroen,citroen c3 1.6 bluehdi shine,2018,160000,14950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrmm2m5dnc1ynhtetitu1revlrmufqifq.zqfq31c36shl56jxjaqsyxwjeebfpxjd87wimzf9ota/image;s=320x240,5,32000.0
a1,audi,audi a1 sportback 25 tfsi advanced,2022,35000,22890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imlzcwzyz25qy3zkddetu1revlrmufqifq.v0uim8d74ttkcbmc_xcvrqf0p4qtrs8l1h5wmllspdm/image;s=320x240,1,35000.0
c3,citroen,citroen c3 1.2 vti seduction,2012,148000,7900,gasolina,manual,none,11,13454.545454545454
c3,citroen,citroen c3 1.2 puretech shine,2020,46455,13990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im9zoxe5dhnjcdjjyi1tverwvexqvcj9.njiuw0-yl4doelaqwn7ha9npstxaus9kerqjpjtkhoa/image;s=320x240,3,15485.0
c3,citroen,citroen c3 1.2 puretech c-series,2022,26139,16899,gasolina,manual,none,1,26139.0
a1,audi,audi a1 1.6 tdi ambition,2013,193293,12900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvidtz3b3f2nhpnbdetu1revlrmufqifq.edbfhmgyhscuoeatot1wdl4py6egh5xh_dlfub1hrcw/image;s=320x240,10,19329.3
c3,citroen,citroen c3 aircross 1.5 bluehdi shine s&s,2019,123000,17450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infqz3eyehg4ahn0yjitu1revlrmufqifq.kdbb8jqp2inc0sl2u5xfktwmrqiz2kagpsa4tznbcxc/image;s=320x240,4,30750.0
c3,citroen,citroen c3 1.2 puretech shine,2017,134000,11890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im10dmnumg5panvhntmtu1revlrmufqifq.hrqxg-ou1ebfmpzi3wpj1gkaqd_rmnguvfnabex-rf8/image;s=320x240,6,22333.333333333332
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,86000,15990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imgxbza4cne4dgo4czitu1revlrmufqifq.yapxtyvto1uvc9ousvoddk9i0sssy3ihxjppy1ih2_i/image;s=320x240,4,21500.0
c3,citroen,citroen c3 1.2 puretech c-series,2023,10764,18750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invnn2jnbdnzzgcycjetu1revlrmufqifq.3gfmtb5v4bxhulgurrruid2bktjyqatcfdpk8evdzp4/image;s=320x240,0,inf
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,15000,20900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imzuynm3dgl3dnm4zjetu1revlrmufqifq.vck14op9i5pnso51mgfawbr_v6heqonrgzwjbglrkgo/image;s=320x240,0,inf
c3,citroen,citroen c3 1.2 puretech shine,2021,58050,15980,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijq2aw9lyzbumxn6ctmtu1revlrmufqifq.ony8rejvxx0iwowttl0i4qq4ey3d_71cid1eqjffgfq/image;s=320x240,2,29025.0
c3,citroen,citroen c3 1.2 puretech feel,2018,80710,14250,gasolina,manual,none,5,16142.0
c3,citroen,citroen c3,2014,89760,9900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invzzgpzdgt4b2nyotetu1revlrmufqifq.de0mvje-0qqvv9hvwjiq9buy3bialy4vc5a-b5dxn8a/image;s=320x240,9,9973.333333333334
c3,citroen,citroen c3 1.2 puretech seduction,2017,135000,13250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijbsbhqydhnvyzg5otmtu1revlrmufqifq.fqxohuyn_ypdhsnbxo2vnzwsmczjsie40t8hjm9njj4/image;s=320x240,6,22500.0
c3,citroen,citroen c3,2022,30418,16380,diesel,manual,none,1,30418.0
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series,2022,49632,20990,diesel,manual,none,1,49632.0
c3,citroen,citroen c3 pure tech s&s feel pack,2020,69303,14950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imy5ejqyote1zxn5zzitu1revlrmufqifq.8kass4ee5lfkyfqguibepndsv62rucrlfbsyfzdwfzy/image;s=320x240,3,23101.0
c3,citroen,citroen c3 1.2 puretech feel pack,2022,29500,15990,gasolina,manual,none,1,29500.0
c3,citroen,citroen c3 1.5 bluehdi feel,2019,121956,15000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imfwog5nm29ln2fmdzitu1revlrmufqifq.t8w7hvkqnwlb9efto2tol0loislnoswwbdselxnphwi/image;s=320x240,4,30489.0
c3,citroen,citroen c3 1.1 attraction,2011,116000,7990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inb1yms2bmr6c2x3zdmtu1revlrmufqifq.58x09kl4ia1rry7s1epxrq-upm28pz0jx5cqwstruhk/image;s=320x240,12,9666.666666666666
a1,audi,audi a1 sportback 1.0 tfsi s-line,2016,98783,15450,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im5wemr4zmfsenf5cc1tverwvexqvcj9.cctheuqwz0qlh2dgtaavdty-j9g6ygfhasnzovwmodo/image;s=320x240,7,14111.857142857143
c3,citroen,citroen c3 aircross,2022,28106,16480,gasolina,automatica,none,1,28106.0
c3,citroen,citroen c3 1.4 hdi attraction,2013,175825,7499,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imvkaw5nbtf0znnymditu1revlrmufqifq.ywz8iqmzpe0bxksjclborfnczdgfl7xc0bvicdupmca/image;s=320x240,10,17582.5
a1,audi,audi a1 sportback 25 tfsi advanced,2022,12500,22000,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inhnzjhvdwsxmgf6bzitu1revlrmufqifq.2xozf3t1_pb7axnnirvy5cvwklvq5-_5a9qnrwbv6cq/image;s=320x240,1,12500.0
c3,citroen,citroen c3 1.2 puretech c-series,2023,17613,18250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtieg05nxhsn3j6czetu1revlrmufqifq.mdtauefsgxiapz417zsc5arwukdd08ywv0uspzftpxq/image;s=320x240,0,inf
c3,citroen,citroen c3 1.2 puretech shine,2017,79006,13790,gasolina,manual,none,6,13167.666666666666
c3,citroen,citroen c3 1.2 puretech feel,2019,38570,13900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijdqnngxbxhuz3jqmdmtu1revlrmufqifq.hr9fcderl-_z_ycwtrlb5ttt0mu1pk8k0b37m1junfk/image;s=320x240,4,9642.5
c3,citroen,citroen c3 aircross 1.5 bluehdi feel s&s,2020,110000,17500,diesel,manual,none,3,36666.666666666664
a1,audi,audi a1 sportback 1.4 tdi design,2017,105983,16750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijzqm3vycwdwa2hqmjmtu1revlrmufqifq.c1qxygtc7wdfpgbv89iqh68hbttasguwatoraoke8ci/image;s=320x240,6,17663.833333333332
c3,citroen,citroen c3 1.2 puretech c-series,2022,62,20250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imixyxhuehnobhzlotmtu1revlrmufqifq.al9p-n_6s0lmevc5jeuhhzsrthjce5htors-dxgdoqm/image;s=320x240,1,62.0
c3,citroen,citroen c3 1.4 hdi airdream selection 101g,2014,99850,11450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzonjmxywdhnnlszdetu1revlrmufqifq.o3kcsgmy00zuv7b3cwuopvjg-28lr2gpwyliofkoo2a/image;s=320x240,9,11094.444444444445
c3,citroen,citroen c3 1.2 puretech feel,2018,76455,12250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imxyndn3mnbtemp1mi1tverwvexqvcj9.8hnvckhnzpl3icmvlunutrw9svpyhq6mfdq13z4l5d0/image;s=320x240,5,15291.0
c3,citroen,citroen c3 1.2 puretech shine,2018,119612,12249,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imv1nhfydgdqc3iwzdetu1revlrmufqifq.s7-tgjschg093uwa0gzgirrrirncjjaa7igjz6sbuou/image;s=320x240,5,23922.4
a1,audi,audi a1 sportback 25 tfsi advanced,2020,20000,19400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imntzm1rbm0zyjlulvnurfzutfbuin0.uer1tmufo6qck5t9d6rtjopbmcta6plw6n2aozbizuk/image;s=320x240,3,6666.666666666667
a1,audi,audi a1 sportback 1.4 tdi design,2016,95000,16750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imxrnmrnzxyyn2hues1tverwvexqvcj9.tmiridzihiugamnqlthxhhanlq2lblexbqg5evxddsa/image;s=320x240,7,13571.42857142857
c3,citroen,citroen c3 1.2 puretech feel,2018,84565,12250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inpyeme4mmo2zddondetu1revlrmufqifq.w1fr_vd3qlchhzfpb6j-jb3k54muesmb6wp_jlkt3pi/image;s=320x240,5,16913.0
c3,citroen,citroen c3 1.2 puretech c-series,2021,32000,18350,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imcwdgpknhr2z2ixzdmtu1revlrmufqifq.wgapgm6xd7wsubg3bfoh6qwkhkkrmbjdhlp4qhfb42a/image;s=320x240,2,16000.0
c3,citroen,citroen c3 aircross 1.2 puretech origins,2019,66515,17200,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdnzwv4n3j2dwn4bjetu1revlrmufqifq.00tccxylcj-hxrcjifieqjwl_08vfrx41y5hblc5ras/image;s=320x240,4,16628.75
c3,citroen,citroen c3 1.2 puretech c-series,2022,36934,16490,gasolina,manual,none,1,36934.0
c3,citroen,citroen c3 1.2 puretech c-series,2021,42000,16500,gasolina,manual,none,2,21000.0
c3,citroen,citroen c3 1.2 puretech c-series,2023,400,19250,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inz5btfjznjwy2ppbzetu1revlrmufqifq.kvkm2if9cva_ilbbfmzzd4nlyofjquwxgxylqgvagja/image;s=320x240,0,inf
c3,citroen,citroen c3 1.2 puretech c-series,2022,29275,16700,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6iju1bgh1mzl1yzz2zzmtu1revlrmufqifq.iw54pudscfkvzxfunbrobengjmrxvbawh7gc2zjmyta/image;s=320x240,1,29275.0
c3,citroen,citroen c3 1.2 puretech feel,2019,37000,16900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtzd3bmznnynzdzdjitu1revlrmufqifq.t9mvd2_vitkc00bt_xbrizmjjjetgol-emep2uggxmg/image;s=320x240,4,9250.0
c3,citroen,citroen c3 1.2 puretech feel,2019,40000,16750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imz1chq3og96nm83cjmtu1revlrmufqifq.5ahb88b6qqcqpykgo6oqnfldclykqkpuzgch4nvvge0/image;s=320x240,4,10000.0
c3,citroen,citroen c3 1.0 puretech confort,2013,101955,10650,gasolina,manual,none,10,10195.5
c3,citroen,citroen c3 1.2 puretech shine,2017,142000,12900,gasolina,manual,none,6,23666.666666666668
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series,2022,35001,24000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrxanjxowhndthmmditu1revlrmufqifq.qigfjncwecio-wjo5ei2j6uaclkc43iz8yka0_lhq64/image;s=320x240,1,35001.0
c3,citroen,citroen c3 aircross puretech 130 stop & start eat6 opf shine pack,2020,79000,18900,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imh4ngmwm3piy2z5bjitu1revlrmufqifq.x3oz3nds2-nb4fgxhfqtrv90pyuhc2dcuzqil-sfvuu/image;s=320x240,3,26333.333333333332
c3,citroen,citroen c3 1.2 puretech c-series,2023,4500,18000,gasolina,manual,none,0,inf
a1,audi,audi a1 1.6 tdi s line edition,2011,292700,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imxmbtnwbzn0d3e3czetu1revlrmufqifq.b4zbgkl2efnpbfjxmjs-vmqeklhb4pbebgwupb4al3s/image;s=320x240,12,24391.666666666668
a1,audi,audi a1 sportback 25 tfsi advanced,2021,62000,20900,gasolina,manual,none,2,31000.0
c3,citroen,citroen c3 1.5 bluehdi feel pack,2022,19622,18990,diesel,manual,none,1,19622.0
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series,2022,27953,20990,diesel,manual,none,1,27953.0
c3,citroen,citroen c3 1.5 bluehdi feel pack,2022,45798,18490,diesel,manual,none,1,45798.0
c3,citroen,citroen c3 aircross 1.2 puretech feel,2018,74522,14900,gasolina,manual,none,5,14904.4
c3,citroen,citroen c3 1.4 hdi attraction,2015,94917,10750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imszyndjcnqxdmh4ejitu1revlrmufqifq.omqcuwsox17oq16ncqsu8vdbxipdifdsas-0bck_jzq/image;s=320x240,8,11864.625
c3,citroen,citroen c3 1.2 puretech shine,2022,1437,18480,gasolina,manual,none,1,1437.0
a1,audi,audi a1 1.6 tdi advance,2011,136374,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6indvd3gzn3rryxn4ny1tverwvexqvcj9.os0lgx6wpfhrgrzgzankugel1oefgsnnhmxt3v9myui/image;s=320x240,12,11364.5
a1,audi,audi a1 1.4 tdi,2010,190400,11990,diesel,manual,none,13,14646.153846153846
c3,citroen,citroen c3 1.2 puretech c-series,2023,10,18990,gasolina,manual,none,0,inf
c3,citroen,citroen c3 1.2 puretech c-series,2022,42400,17900,gasolina,manual,none,1,42400.0
c3,citroen,citroen c3 1.2 puretech attraction,2014,152000,8950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ina1am9jemx0zmj4njmtu1revlrmufqifq.euslapwo5xsyopahykqh-4yzyppz95bt5qcmv5rmukm/image;s=320x240,9,16888.88888888889
c3,citroen,citroen c3 1.5 bluehdi feel,2019,149896,15900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdya2vzc2kzbdvrdjmtu1revlrmufqifq.wgxlgnhjsbtobvhmobxjbriiicqsnz5utetlhwebx7c/image;s=320x240,4,37474.0
c3,citroen,citroen c3 aircross,2019,102355,17990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imo1etj6emf0bg9tcjitu1revlrmufqifq.w9jk27jpepsibsjk0cpkpx8ps-w0fetpqkghk-br7-o/image;s=320x240,4,25588.75
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,96000,15750,gasolina,manual,none,4,24000.0
c3,citroen,citroen c3 aircross 1.2 puretech shine,2019,89000,15740,gasolina,manual,none,4,22250.0
a1,audi,audi a1 sportback 1.4 tdi design,2015,105000,16000,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ing3em42dhu1c2psds1tverwvexqvcj9.tm8yf_iffjzvpueszcrjdliqyxqphxgwfwfxip06qqk/image;s=320x240,8,13125.0
a1,audi,audi a1 1.6 tdi sport,2015,93000,17900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtynxnxbtl1zg50as1tverwvexqvcj9.df2ipv8nfu7s7t0p2knblll3svg7zfacuyu1rtmkeg0/image;s=320x240,8,11625.0
c3,citroen,citroen c3 1.4 hdi seduction,2015,159000,8999,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imn6ajbidzuxnxrkodmtu1revlrmufqifq.ugf28bhs9oscgsysmkveqousknjwjt-8hdqxtvtw7pu/image;s=320x240,8,19875.0
c3,citroen,citroen c3 1.2 puretech shine,2019,55145,17900,gasolina,manual,none,4,13786.25
a1,audi,audi a1 sportback 1.0 tfsi sport,2015,121507,15900,gasolina,manual,none,8,15188.375
c3,citroen,citroen c3 aircross 1.2 puretech feel,2018,53453,16300,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnom28zcddjehbtoc1tverwvexqvcj9.g8nh_fkhdbhrcpm7pglf2dcxc4tsemtfsxo8rsdlhrw/image;s=320x240,5,10690.6
c3,citroen,citroen c3 1.2 vti exclusive,2014,133680,10900,gasolina,manual,none,9,14853.333333333334
c3,citroen,citroen c3 aircross 1.6 bluehdi shine,2018,162000,16900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inc4ywzzawo2dg92bc1tverwvexqvcj9.usbvaeqabx12tndzynnwzjw0vpo9ynrkfrlt_8njnxi/image;s=320x240,5,32400.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,15030,20240,gasolina,manual,none,1,15030.0
c3,citroen,citroen c3 aircross 1.5 bluehdi c-series s&s,2021,23987,22900,diesel,manual,none,2,11993.5
a1,audi,audi a1 sportback 1.6 tdi s line edition,2014,109000,16500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inliczrmym8ybwq4bzitu1revlrmufqifq.6lz75l4is5o8r2vzio5yjl094ncoxzjt0ijblrklq_c/image;s=320x240,9,12111.111111111111
c3,citroen,citroen c3 1.2 puretech c-series,2022,44778,17750,gasolina,manual,none,1,44778.0
c3,citroen,citroen c3 1.2 puretech c-series,2023,10784,18390,gasolina,manual,none,0,inf
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,12339,19900,gasolina,manual,none,0,inf
c3,citroen,citroen c3 1.2 puretech shine,2022,13599,16880,gasolina,manual,none,1,13599.0
c3,citroen,citroen c3 1.2 puretech elle,2018,58795,14850,gasolina,manual,none,5,11759.0
c3,citroen,citroen c3,2020,63930,14750,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzxcjrsndlhdncwos1tverwvexqvcj9.ot6xyx_yrhk6nqvvpgrxpubnp8cktx7cty3k_lq-n0o/image;s=320x240,3,21310.0
